"","X","UNITID","INSTNM","STABBR","CITY","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","LONGITUDE","LATITUDE","UGDS_WHITE","UGDS","ADM_RATE","COSTT4_A","MD_EARN_WNE_P10","C100_4","PCTFLOAN","CIP_SUM","WEST","MIDWEST","NORTHEAST","SOUTH","MAJOR_CITY","MINORATIO","MINOQ1","MINOQ2","MINOQ3","MINOQ4","STU_APPLIED","WM","WN","MM","MN","NM","NN","SM","SN","cluster"
"1",1,100654,"Alabama A & M University","AL","Normal",0.9353,0.0055,0.0019,0.0024,0.0019,0,0.0059,0.0138,-86.568502,34.783368,0.0333,4206,0.5256,21475,30300,0.1102,0.8284,21,0,0,0,1,0,0.9667,0,0,0,1,8002.28310502283,0,0,0,0,0,0,0,1,8
"2",2,100663,"University of Alabama at Birmingham","AL","Birmingham",0.26,0.0283,0.0518,0.0022,7e-04,0.0368,0.0179,0.01,-86.80917,33.50223,0.5922,11383,0.8569,20621,39700,0.3258,0.5214,24,0,0,0,1,1,0.4077,0,1,0,0,13283.93044696,0,0,0,0,0,0,1,0,7
"3",4,100706,"University of Alabama in Huntsville","AL","Huntsville",0.1255,0.0382,0.0376,0.0143,2e-04,0.0172,0.0332,0.035,-86.63842,34.722818,0.6988,5451,0.8203,21107,45500,0.1516,0.4596,18,0,0,0,1,1,0.3012,1,0,0,0,6645.1298305498,0,0,0,0,0,0,1,0,7
"4",5,100724,"Alabama State University","AL","Montgomery",0.9208,0.0121,0.0019,0.001,6e-04,0.0098,0.0243,0.0137,-86.295677,32.364317,0.0158,4811,0.5326,18184,26600,0.0752,0.7554,17,0,0,0,1,1,0.9842,0,0,0,1,9033.04543747653,0,0,0,0,0,0,1,0,7
"5",6,100751,"The University of Alabama","AL","Tuscaloosa",0.1119,0.0348,0.0106,0.0038,9e-04,0.0261,0.0268,0.0026,-87.545766,33.2144,0.7825,29851,0.5105,26400,41900,0.3877,0.401,27,0,0,0,1,0,0.2175,1,0,0,0,58474.0450538688,0,0,0,0,0,0,0,1,8
"6",9,100830,"Auburn University at Montgomery","AL","Montgomery",0.3376,0.0074,0.0221,0.0044,0.0016,0.0297,0.0397,0.0246,-86.177351,32.369939,0.5328,4304,0.8017,17903,35000,0.0863,0.5803,20,0,0,0,1,1,0.4671,0,1,0,0,5368.59174254709,0,0,0,0,0,0,1,0,7
"7",10,100858,"Auburn University","AL","Auburn",0.0704,0.0248,0.0227,0.0074,0,0,0.01,0.014,-85.482782,32.604685,0.8507,20514,0.8347,25282,45700,0.4225,0.3494,23,0,0,0,1,0,0.1493,1,0,0,0,24576.4945489397,0,0,0,0,0,0,0,1,8
"8",11,100937,"Birmingham Southern College","AL","Birmingham",0.1102,0.0195,0.0517,0.0102,0,0.0051,0,0.0051,-86.853636,33.515453,0.7983,1180,0.5339,45162,44200,0.5622,0.4809,18,0,0,0,1,1,0.2018,1,0,0,0,2210.15171380408,0,0,0,0,0,0,1,0,7
"9",13,101073,"Concordia College Alabama","AL","Selma",0.8758,0.0373,0.0093,0,0,0.0031,0.0466,0,-87.023531,32.42443,0.028,322,0.5328,17603,19900,0.0536,0.9333,3,0,0,0,1,0,0.9721,0,0,0,1,604.354354354354,0,0,0,0,0,0,0,1,8
"10",24,101435,"Huntingdon College","AL","Montgomery",0.1993,0.0252,0.0078,0.0122,0.0017,0.0261,0.0061,0.0827,-86.285313,32.350939,0.6388,1149,0.5839,32370,36500,0.3004,0.7153,15,0,0,0,1,1,0.3611,0,1,0,0,1967.8027059428,0,0,0,0,0,0,1,0,7
"11",27,101480,"Jacksonville State University","AL","Jacksonville",0.2382,0.0132,0.0055,0.0072,0.001,0,0.0234,0.028,-85.766644,33.822128,0.6834,7060,0.8326,20830,34600,0.0869,0.6825,23,0,0,0,1,1,0.3165,1,0,0,0,8479.46192649532,0,0,0,0,0,0,1,0,7
"12",31,101541,"Judson College","AL","Marion",0.1622,0.016,0.0106,0.0053,0,0.0053,0.0133,0.0319,-87.316127,32.630526,0.7553,376,0.6525,28840,29300,0.3684,0.7205,28,0,0,0,1,0,0.2446,1,0,0,0,576.245210727969,0,0,0,0,0,0,0,1,8
"13",33,101587,"University of West Alabama","AL","Livingston",0.4055,0.0224,0.0016,0.0016,0.001,0.013,0.06,0.0527,-88.186077,32.59244,0.4421,1916,0.7199,17839,33900,0.1951,0.6733,19,0,0,0,1,0,0.5578,0,0,1,0,2661.48076121684,0,0,0,0,0,0,0,1,8
"14",37,101693,"University of Mobile","AL","Mobile",0.211,0.0158,0.0048,0.0178,0,0.0233,0.0363,0.0432,-88.128934,30.793247,0.6479,1460,0.5847,31220,35000,0.249,0.7576,19,0,0,0,1,1,0.3522,0,1,0,0,2497.00701214298,0,0,0,0,0,0,1,0,7
"15",38,101709,"University of Montevallo","AL","Montevallo",0.1384,0.031,0.0064,0.0061,0,0.0234,0.0136,0.0545,-86.865099,33.10625,0.7266,2644,0.743,22440,34900,0.2071,0.5856,16,0,0,0,1,0,0.2734,1,0,0,0,3558.5464333782,0,0,0,0,0,0,0,1,8
"16",40,101879,"University of North Alabama","AL","Florence",0.1384,0.0272,0.0047,0.0093,9e-04,0.0235,0.0425,0.0412,-87.680999,34.80658,0.7123,5485,0.6788,15494,36100,0.1204,0.6733,25,0,0,0,1,0,0.2877,1,0,0,0,8080.43606364172,0,0,0,0,0,0,0,1,8
"17",42,101912,"Oakwood University","AL","Huntsville",0.8514,0.0234,0.0016,0.0059,0,0,0.0783,0.0335,-86.661628,34.756628,0.0059,1878,0.4787,36064,33900,0.1988,0.7271,23,0,0,0,1,1,0.9941,0,0,0,1,3923.12513056194,0,0,0,0,0,0,1,0,7
"18",47,102049,"Samford University","AL","Birmingham",0.0656,0.06,0.0092,0.002,0,0.0115,0.0297,0.0036,-86.790932,33.464578,0.8183,3033,0.5954,40900,45800,0.4766,0.3385,27,0,0,0,1,1,0.1816,1,0,0,0,5094.05441719852,0,0,0,0,0,0,1,0,7
"19",51,102094,"University of South Alabama","AL","Mobile",0.2374,0.0276,0.0345,0.0065,0.0013,0.0247,0.0382,0.0149,-88.18189,30.695081,0.6149,11267,0.8335,18525,37300,0.1538,0.5729,25,0,0,0,1,1,0.3851,0,1,0,0,13517.6964607079,0,0,0,0,0,0,1,0,7
"20",52,102234,"Spring Hill College","AL","Mobile",0.1556,0.0626,0.0107,0.0074,0,0.0346,0.0222,0.0337,-88.138199,30.694751,0.6733,1215,0.5177,44970,42800,0.5087,0.6873,20,0,0,0,1,1,0.3268,1,0,0,0,2346.91906509562,0,0,0,0,0,0,1,0,7
"21",53,102261,"Southeastern Bible College","AL","Birmingham",0.3118,0.0176,0.0059,0.0059,0,0.0059,0.0059,0.0294,-86.749045,33.378935,0.6176,170,1,17066,30300,0.1538,0.7702,3,0,0,0,1,1,0.3824,0,1,0,0,170,0,0,0,0,0,0,1,0,7
"22",54,102270,"Stillman College","AL","Tuscaloosa",0.9034,0.017,0.0019,0,0,0,0.0019,9e-04,-87.585242,33.199228,0.0748,1056,0.5901,26185,25700,0.1208,0.8992,14,0,0,0,1,0,0.9251,0,0,0,1,1789.52719877987,0,0,0,0,0,0,0,1,8
"23",57,102368,"Troy University","AL","Troy",0.3386,0.0329,0.0078,0.0082,0.0011,0.0244,0.0282,0.0455,-85.950191,31.800128,0.5132,15025,0.4414,17354,35600,0.1456,0.6521,31,0,0,0,1,0,0.4867,0,1,0,0,34039.4200271862,0,0,0,0,0,0,0,1,8
"24",58,102377,"Tuskegee University","AL","Tuskegee",0.7736,0.0035,0.0015,4e-04,0,0,0.0027,0.2148,-85.710315,32.431021,0.0035,2588,0.4922,32853,36800,0.2133,0.7639,17,0,0,0,1,0,0.9965,0,0,0,1,5258.02519301097,0,0,0,0,0,0,0,1,8
"25",65,102669,"Alaska Pacific University","AK","Anchorage",0.0291,0.0364,0.0255,0.1855,0.0109,0.0945,0,0.0873,-149.804242,61.191235,0.5309,275,0.4207,42640,47000,0.5333,0.5297,20,1,0,0,0,1,0.4692,0,1,0,0,653.672450677442,1,0,0,0,0,0,0,0,1
"26",83,104151,"Arizona State University-Tempe","AZ","Tempe",0.0394,0.188,0.0686,0.0133,0.0024,0.0401,0.0942,0.0083,-111.934629,33.422247,0.5457,39316,0.8433,22312,45100,0.428,0.4527,44,1,0,0,0,1,0.4543,0,1,0,0,46621.6055970592,1,0,0,0,0,0,0,0,1
"27",85,104179,"University of Arizona","AZ","Tucson",0.0355,0.2535,0.0555,0.0115,0.0027,0.0419,0.0574,0.0096,-110.950769,32.232071,0.5323,32646,0.7462,24617,44000,0.4006,0.4055,28,1,0,0,0,1,0.4676,0,1,0,0,43749.6649691772,1,0,0,0,0,0,0,0,1
"28",96,104586,"Embry-Riddle Aeronautical University-Prescott","AZ","Prescott",0.0167,0.0558,0.0553,0.0036,0.0056,0.0939,0.0989,0.0949,-112.452285,34.615678,0.5753,1971,0.8016,46174,61500,0.3462,0.5189,9,1,0,0,0,0,0.4247,0,1,0,0,2458.83233532934,0,1,0,0,0,0,0,0,2
"29",99,104717,"Grand Canyon University","AZ","Phoenix",0.1867,0.1652,0.0443,0.0093,0.0048,0.0276,0,0.0831,-112.129917,33.512172,0.479,38905,0.5757,30945,44500,0.1818,0.6189,33,1,0,0,0,1,0.521,0,1,0,0,67578.5999652597,1,0,0,0,0,0,0,0,1
"30",104,105172,"ITT Technical Institute-Tempe","AZ","Tempe",0.0921,0.2517,0.0247,0.1326,0,0.0292,0,0.027,-111.969169,33.380355,0.4427,445,0.9191,27722,38800,0.1429,0.8012,9,1,0,0,0,1,0.5573,0,0,1,0,484.169296050484,1,0,0,0,0,0,0,0,1
