2015 rank,City,State,2015 estimate,2010 Census
1,New York,New York,"8,550,405","8,175,133"
2,Los Angeles,California,"3,971,883","3,792,621"
3,Chicago,Illinois,"2,720,546","2,695,598"
4,Houston,Texas,"2,296,224","2,100,263"
5,Philadelphia,Pennsylvania,"1,567,442","1,526,006"
6,Phoenix,Arizona,"1,563,025","1,445,632"
7,San Antonio,Texas,"1,469,845","1,327,407"
8,San Diego,California,"1,394,928","1,307,402"
9,Dallas,Texas,"1,300,092","1,197,816"
10,San Jose,California,"1,026,908","945,942"
11,Austin,Texas,"931,830","790,390"
12,Jacksonville,Florida,"868,031","821,784"
13,San Francisco,California,"864,816","805,235"
14,Indianapolis,Indiana,"853,173","820,445"
15,Columbus,Ohio,"850,106","787,033"
16,Fort Worth,Texas,"833,319","741,206"
17,Charlotte,North Carolina,"827,097","731,424"
18,Seattle,Washington,"684,451","608,660"
19,Denver,Colorado,"682,545","600,158"
20,El Paso,Texas,"681,124","649,121"
21,Detroit,Michigan,"677,116","713,777"
22,Washington,District of Columbia,"672,228","601,723"
23,Boston,Massachusetts,"667,137","617,594"
24,Memphis,Tennessee,"655,770","646,889"
25,Nashville,Tennessee,"654,610","601,222"
26,Portland,Oregon,"632,309","583,776"
27,Oklahoma City,Oklahoma,"631,346","579,999"
28,Las Vegas,Nevada,"623,747","583,756"
29,Baltimore,Maryland,"621,849","620,961"
30,Louisville,Kentucky,"615,366","597,337"
31,Milwaukee,Wisconsin,"600,155","594,833"
32,Albuquerque,New Mexico,"559,121","545,852"
33,Tucson,Arizona,"531,641","520,116"
34,Fresno,California,"520,052","494,665"
35,Sacramento,California,"490,712","466,488"
36,Kansas City,Missouri,"475,378","459,787"
37,Long Beach,California,"474,140","462,257"
38,Mesa,Arizona,"471,825","439,041"
39,Atlanta,Georgia,"463,878","420,003"
40,Colorado Springs,Colorado,"456,568","416,427"
41,Virginia Beach,Virginia,"452,745","437,994"
42,Raleigh,North Carolina,"451,066","403,892"
43,Omaha,Nebraska,"443,885","408,958"
44,Miami,Florida,"441,003","399,457"
45,Oakland,California,"419,267","390,724"
46,Minneapolis,Minnesota,"410,939","382,578"
47,Tulsa,Oklahoma,"403,505","391,906"
48,Wichita,Kansas,"389,965","382,368"
49,New Orleans,Louisiana,"389,617","343,829"
50,Arlington,Texas,"388,125","365,438"
51,Cleveland,Ohio,"388,072","396,815"
52,Bakersfield,California,"373,640","347,483"
53,Tampa,Florida,"369,075","335,709"
54,Aurora,Colorado,"359,407","325,078"
55,Honolulu,Hawai'i,"352,769","337,256"
56,Anaheim,California,"350,742","336,265"
57,Santa Ana,California,"335,400","324,528"
58,Corpus Christi,Texas,"324,074","305,215"
59,Riverside,California,"322,424","303,871"
60,St. Louis,Missouri,"315,685","319,294"
61,Lexington,Kentucky,"314,488","295,803"
62,Stockton,California,"305,658","291,707"
63,Pittsburgh,Pennsylvania,"304,391","305,704"
64,Saint Paul,Minnesota,"300,851","285,068"
65,Anchorage,Alaska,"298,695","291,826"
66,Cincinnati,Ohio,"298,550","296,943"
67,Henderson,Nevada,"285,667","257,729"
68,Greensboro,North Carolina,"285,342","269,666"
69,Plano,Texas,"283,558","259,841"
70,Newark,New Jersey,"281,944","277,140"
71,Toledo,Ohio,"279,789","287,208"
72,Lincoln,Nebraska,"277,348","258,379"
73,Orlando,Florida,"270,934","238,300"
74,Chula Vista,California,"265,757","243,916"
75,Jersey City,New Jersey,"264,290","247,597"
76,Chandler,Arizona,"260,828","236,123"
77,Fort Wayne,Indiana,"260,326","253,691"
78,Buffalo,New York,"258,071","261,310"
79,Durham,North Carolina,"257,636","228,330"
80,St. Petersburg,Florida,"257,083","244,769"
81,Irvine,California,"256,927","212,375"
82,Laredo,Texas,"255,473","236,091"
83,Lubbock,Texas,"249,042","229,573"
84,Madison,Wisconsin,"248,951","233,209"
85,Gilbert,Arizona,"247,542","208,453"
86,Norfolk,Virginia,"246,393","242,803"
87,Reno,Nevada,"241,445","225,221"
88,Winstonâ€“Salem,North Carolina,"241,218","229,617"
89,Glendale,Arizona,"240,126","226,721"
90,Hialeah,Florida,"237,069","224,669"
91,Garland,Texas,"236,897","226,876"
92,Scottsdale,Arizona,"236,839","217,385"
93,Irving,Texas,"236,607","216,290"
94,Chesapeake,Virginia,"235,429","222,209"
95,North Las Vegas,Nevada,"234,807","216,961"
96,Fremont,California,"232,206","214,089"
97,Baton Rouge,Louisiana,"228,590","229,493"
98,Richmond,Virginia,"220,289","204,214"
99,Boise,Idaho,"218,281","205,671"
100,San Bernardino,California,"216,108","209,924"
101,Spokane,Washington,"213,272","208,916"
102,Birmingham,Alabama,"212,461","212,237"
103,Modesto,California,"211,266","201,165"
104,Des Moines,Iowa,"210,330","203,433"
105,Rochester,New York,"209,802","210,565"
106,Tacoma,Washington,"207,948","198,397"
107,Fontana,California,"207,460","196,069"
108,Oxnard,California,"207,254","197,899"
109,Moreno Valley,California,"204,198","193,365"
110,Fayetteville,North Carolina,"201,963","200,564"
111,Huntington Beach,California,"201,899","189,992"
112,Yonkers,New York,"201,116","195,976"
113,Glendale,California,"201,020","191,719"
114,Aurora,Illinois,"200,661","197,899"
115,Montgomery,Alabama,"200,602","205,764"
116,Columbus,Georgia,"200,579","189,885"
117,Amarillo,Texas,"198,645","190,695"
118,Little Rock,Arkansas,"197,992","193,524"
119,Akron,Ohio,"197,542","199,110"
120,Shreveport,Louisiana,"197,204","199,311"
121,Augusta,Georgia,"197,182","195,844"
122,Grand Rapids,Michigan,"195,097","188,040"
123,Mobile,Alabama,"194,288","195,111"
124,Salt Lake City,Utah,"192,672","186,440"
125,Huntsville,Alabama,"190,582","180,105"
126,Tallahassee,Florida,"189,907","181,376"
127,Grand Prairie,Texas,"187,809","175,396"
128,Overland Park,Kansas,"186,515","173,372"
129,Knoxville,Tennessee,"185,291","178,874"
130,Worcester,Massachusetts,"184,815","181,045"
131,Brownsville,Texas,"183,887","175,023"
132,Newport News,Virginia,"182,385","180,719"
133,Santa Clarita,California,"182,371","176,320"
134,Port St. Lucie,Florida,"179,413","164,603"
135,Providence,Rhode Island,"179,207","178,042"
136,Fort Lauderdale,Florida,"178,590","165,521"
137,Chattanooga,Tennessee,"176,588","167,674"
138,Tempe,Arizona,"175,826","161,719"
139,Oceanside,California,"175,691","167,086"
140,Garden Grove,California,"175,393","170,883"
141,Rancho Cucamonga,California,"175,236","165,269"
142,Cape Coral,Florida,"175,229","154,305"
143,Santa Rosa,California,"174,972","167,815"
144,Vancouver,Washington,"172,860","161,791"
145,Sioux Falls,South Dakota,"171,544","153,888"
146,Peoria,Arizona,"171,237","154,065"
147,Ontario,California,"171,214","163,924"
148,Jackson,Mississippi,"170,674","173,514"
149,Elk Grove,California,"166,913","153,015"
150,Springfield,Missouri,"166,810","159,498"
151,Pembroke Pines,Florida,"166,611","154,019"
152,Salem,Oregon,"164,549","154,637"
153,Corona,California,"164,226","152,374"
154,Eugene,Oregon,"163,460","156,185"
155,McKinney,Texas,"162,898","131,117"
156,Fort Collins,Colorado,"161,175","143,986"
157,Lancaster,California,"161,103","156,633"
158,Cary,North Carolina,"159,769","135,234"
159,Palmdale,California,"158,351","152,750"
160,Hayward,California,"158,289","144,186"
161,Salinas,California,"157,380","150,441"
162,Frisco,Texas,"154,407","116,989"
163,Springfield,Massachusetts,"154,341","153,060"
164,Pasadena,Texas,"153,784","149,043"
165,Macon,Georgia,"153,515","91,351"
166,Alexandria,Virginia,"153,511","139,966"
167,Pomona,California,"153,266","149,058"
168,Lakewood,Colorado,"152,597","142,980"
169,Sunnyvale,California,"151,754","140,081"
170,Escondido,California,"151,451","143,911"
171,Kansas City,Kansas,"151,306","145,786"
172,Hollywood,Florida,"149,728","140,768"
173,Clarksville,Tennessee,"149,176","132,929"
174,Torrance,California,"148,475","145,438"
175,Rockford,Illinois,"148,278","152,871"
176,Joliet,Illinois,"147,861","147,433"
177,Paterson,New Jersey,"147,754","146,199"
178,Bridgeport,Connecticut,"147,629","144,229"
179,Naperville,Illinois,"147,100","141,853"
180,Savannah,Georgia,"145,674","136,286"
181,Mesquite,Texas,"144,788","139,824"
182,Syracuse,New York,"144,142","145,170"
183,Pasadena,California,"142,250","137,122"
184,Orange,California,"140,992","136,416"
